attribute_name,positive,negative,positive_prompt,negative_prompt,category,explanation
ringing_artifacts,no ringing artifacts,ringing artifacts present,A photograph with no ringing artifacts,A photograph with ringing artifacts present,others,oscillations near sharp edges
band_limited_edges,well sampled edges,aliasing stair steps,A photograph with well sampled edges,A photograph with aliasing stair steps,others,insufficient sampling of high frequency detail
text_placement,plausible signage placement,random text placement,A photograph with plausible signage placement,A photograph with random text placement,others,text appears where expected
logo_rendering,authentic logo rendering,fake logo rendering,A photograph with authentic logo rendering,A photograph with fake logo rendering,others,brand marks follow shape and lighting
print_texture,authentic print texture,fake print texture,A photograph with authentic print texture,A photograph with fake print texture,others,halftone or paper fibers visible
scan_artifacts,no scan lines,scan lines present,A photograph with no scan lines,A photograph with scan lines present,others,striping from scanning hardware
lens_dirt,subtle lens dust specks,fake overlay dirt,A photograph with subtle lens dust specks,A photograph with fake overlay dirt,others,random non repeating specks
matte_edges,clean matte edges,fringing matte edges,A photograph with clean matte edges,A photograph with fringing matte edges,others,alpha edges free of color spill
scene_textures,rich stochastic scene textures,uniform scene textures,A photograph with rich stochastic scene textures,A photograph with uniform scene textures,others,non uniform detail in natural materials
global_illumination,visible bounce light,missing bounce light,A photograph with visible bounce light,A photograph with missing bounce light,others,light reflecting between surfaces
contact_shadows,strong contact shadows,missing contact shadows,A photograph with strong contact shadows,A photograph with missing contact shadows,others,dark touch points under objects
reflection_blur,blur matches surface roughness,blur mismatch with roughness,A photograph with blur that matches surface roughness,A photograph with blur that mismatches roughness,others,glossy vs diffuse balance
edge_coherence,edges align across layers,misaligned edges across layers,A photograph with edges that align across layers,A photograph with misaligned edges across layers,others,object boundaries line up
fine_detail,organic micro detail,smooth plastic detail,A photograph with organic micro detail,A photograph with smooth plastic detail,others,irregular tiny structures
background_integration,subject blends into scene,cutout appearance,A photograph where the subject blends into the scene,A photograph with a cutout appearance,others,consistent lighting and blur around subject
depth_layering,natural layer order errors absent,layer order errors present,A photograph with correct depth layer order,A photograph with depth layer order errors,others,foreground overlaps background correctly
time_of_day_coherence,time cues match sky and shadows,time cues conflict,A photograph with time cues that match sky and shadows,A photograph with time cues that conflict,others,sun angle color and activity align
weather_coherence,weather cues agree,weather cues conflict,A photograph where weather cues agree,A photograph where weather cues conflict,others,rain snow fog and ground effects align
exif_presence,EXIF present,EXIF missing,A photograph with EXIF present,A photograph with EXIF missing,others,metadata typical of camera capture
